,"Full UKB (n=458,840)","Split B (n=298,245)","Imaging visit (n=73,639)"
N,458840.0,298245.0,73639.0
"Age, mean",56.212963124400666,56.207423427048234,54.680753405125
"Age, SD",8.106620197236198,8.106086092531026,7.557027486840012
"BMI, mean",27.197519236335108,27.19264814598736,26.536775652846995
"BMI, SD",4.6595400686528565,4.6466597773941585,4.223277970827584
Male (%),43.758172783541106,43.67080755754497,47.31596029277964
Current smoker (%),10.41923226940253,10.36228604000067,6.53925732331482
PA active (%),81.8261267544242,81.81696256433469,81.72843194502913
Adequate sleep (%),75.56322853998775,75.573487342797,78.11785208582943
University degree (%),33.40031383488798,33.42050998340291,45.57910889610125
Mental health visit (%),33.860387063028504,33.88992271454676,31.4588736946455
FH CVD father (%),38.31967570394909,38.24339050109809,39.76018142560328
FH CVD mother (%),27.907767413477462,27.867692668779025,27.336058338652077
FH CVD sibling (%),12.183549821288468,12.197689818773156,10.289384701041568
Current drinker (%),92.47388694325302,92.45557154964821,95.2558265950941
CVD events (%),8.79021009502223,8.790088685476706,5.24314561577425
