outcome,variable,coef,se,tstat,pval
Not currently smoking,age_defined_baseline,-0.0014847486929927536,5.963727605798444e-06,-248.96319737158257,0.0
Not currently smoking,genetic_sex,4.821708273592583e-05,9.657554274026242e-05,0.4992680482842795,0.6175905613674714
Not currently smoking,BMI,0.00014867942619787363,1.103667951547446e-05,13.471391099960014,2.3048226709602896e-41
Physically active,age_defined_baseline,-0.0003550939471185721,3.8348229861950466e-06,-92.59721984479398,0.0
Physically active,genetic_sex,0.00040891827915893927,5.9985688117115964e-05,6.816930704546856,9.30060969595678e-12
Physically active,BMI,0.00015331093848340902,6.122238276295525e-06,25.041648424075255,2.1527472843698516e-138
Adequate sleep,age_defined_baseline,-0.00044746551854371076,3.2567170173430584e-06,-137.39772788388242,0.0
Adequate sleep,genetic_sex,0.0007448655422495393,5.279961080736452e-05,14.10740592325815,3.419259292857085e-45
Adequate sleep,BMI,-0.0004296920651168005,6.140706064654565e-06,-69.9743743785548,0.0
Not currently smoking only (arm 1),age_defined_baseline,-0.0017335407721976973,1.2525364238938703e-05,-138.40242400364585,0.0
Not currently smoking only (arm 1),genetic_sex,-0.00403757425327211,0.00020550031812825403,-19.647532860519636,6.069202302794742e-86
Not currently smoking only (arm 1),BMI,0.0025460241932216457,2.031993474166239e-05,125.29686859680109,0.0
Physically active only (arm 2),age_defined_baseline,-0.000937182459854845,1.2462934542385574e-05,-75.19757539185916,0.0
Physically active only (arm 2),genetic_sex,-0.004369082460371909,0.00021497629778795174,-20.323554295653018,7.959932530270778e-92
Physically active only (arm 2),BMI,0.002093125278259596,2.1405401487813226e-05,97.78491094648602,0.0
Adequate sleep only (arm 4),age_defined_baseline,-0.0009841419551396224,1.346895002241607e-05,-73.06745911906549,0.0
Adequate sleep only (arm 4),genetic_sex,0.006915600444328858,0.00022846579526814172,30.269740974627197,2.8690070754951985e-201
Adequate sleep only (arm 4),BMI,0.001563821017278046,2.2737713804867708e-05,68.77652831320543,0.0
all three (arm 7),age_defined_baseline,-0.002805826229512157,1.1620405987611018e-05,-241.45681592394976,0.0
all three (arm 7),genetic_sex,-0.0013799077280570219,0.00019654662591157178,-7.02076528486353,2.2065626915164863e-12
all three (arm 7),BMI,0.001752313540188643,1.9302357721083565e-05,90.78235754975297,0.0
