outcome,strat_var,group,n,mean_cate,ci_low,ci_high
Not currently smoking,sex,Female,180841,-0.04305260509670633,-0.04318780875097055,-0.04291740144244211
Not currently smoking,sex,Male,140347,-0.042985410734056755,-0.04314741008798642,-0.04282341138012709
Not currently smoking,age band,<55,129590,-0.029319174086760484,-0.029427674518921004,-0.029210673654599964
Not currently smoking,age band,55-65,134029,-0.05268252088806519,-0.05285230367368547,-0.0525127381024449
Not currently smoking,age band,>=65,57569,-0.051383422268518684,-0.051730494636684374,-0.051036349900352995
Not currently smoking,BMI band,<25,110898,-0.04256885803994011,-0.04272548765982383,-0.04241222842005639
Not currently smoking,BMI band,25-30,137385,-0.044315249156086554,-0.04447746566128437,-0.04415303265088874
Not currently smoking,BMI band,>=30,72905,-0.04127971846051579,-0.0415236894501165,-0.04103574747091508
Physically active,sex,Female,180841,-0.00848850442375215,-0.008572609610467385,-0.008404399237036916
Physically active,sex,Male,140347,-0.007993054114562186,-0.00810456232983333,-0.007881545899291041
Physically active,age band,<55,129590,-0.005399019583592923,-0.005473589715725356,-0.00532444945146049
Physically active,age band,55-65,134029,-0.009290505076724562,-0.009399462889975318,-0.009181547263473805
Physically active,age band,>=65,57569,-0.01236802344223625,-0.012594243297241332,-0.012141803587231168
Physically active,BMI band,<25,110898,-0.009087633098787797,-0.009201290340774574,-0.00897397585680102
Physically active,BMI band,25-30,137385,-0.008388084983442672,-0.008493958993867257,-0.008282210973018086
Physically active,BMI band,>=30,72905,-0.006812610979666439,-0.00695370418944387,-0.0066715177698890085
Adequate sleep,sex,Female,180841,-0.00879840355582928,-0.008871414676722412,-0.008725392434936148
Adequate sleep,sex,Male,140347,-0.008378222364119479,-0.008477205164071092,-0.008279239564167866
Adequate sleep,age band,<55,129590,-0.005312939298187033,-0.005379798209300772,-0.005246080387073295
Adequate sleep,age band,55-65,134029,-0.008774582863657806,-0.008869883402712051,-0.008679282324603561
Adequate sleep,age band,>=65,57569,-0.015675417347731417,-0.0158727814253297,-0.015478053270133131
Adequate sleep,BMI band,<25,110898,-0.006373880144248559,-0.006464972424361005,-0.006282787864136112
Adequate sleep,BMI band,25-30,137385,-0.007949529361637743,-0.008042664386519741,-0.007856394336755744
Adequate sleep,BMI band,>=30,72905,-0.013277193882330725,-0.01341541442855503,-0.01313897333610642
Not currently smoking only (arm 1),sex,Female,180841,-0.06941123668694694,-0.06982766330169965,-0.06899481007219424
Not currently smoking only (arm 1),sex,Male,140347,-0.07177468440117377,-0.0722705536912702,-0.07127881511107734
Not currently smoking only (arm 1),age band,<55,129590,-0.05370511467237862,-0.054109249269561385,-0.05330098007519586
Not currently smoking only (arm 1),age band,55-65,134029,-0.08756855713764665,-0.0881313941685178,-0.0870057201067755
Not currently smoking only (arm 1),age band,>=65,57569,-0.06825526117112544,-0.06904766046858477,-0.06746286187366612
Not currently smoking only (arm 1),BMI band,<25,110898,-0.08082990215446083,-0.08144491859722851,-0.08021488571169315
Not currently smoking only (arm 1),BMI band,25-30,137385,-0.06603445541676124,-0.06650049274641817,-0.06556841808710431
Not currently smoking only (arm 1),BMI band,>=30,72905,-0.06295509140386212,-0.06353105970977392,-0.062379123097950316
Physically active only (arm 2),sex,Female,180841,-0.026473062606540712,-0.026769280361807382,-0.026176844851274042
Physically active only (arm 2),sex,Male,140347,-0.029438030997698036,-0.029801376423103675,-0.029074685572292397
Physically active only (arm 2),age band,<55,129590,-0.018087652619391412,-0.018373318887795156,-0.01780198635098767
Physically active only (arm 2),age band,55-65,134029,-0.03839759664447937,-0.038794389982050294,-0.03800080330690845
Physically active only (arm 2),age band,>=65,57569,-0.024815162112482376,-0.02543449859157638,-0.02419582563338837
Physically active only (arm 2),BMI band,<25,110898,-0.034591910990916484,-0.035012857006483065,-0.0341709649753499
Physically active only (arm 2),BMI band,25-30,137385,-0.024231579662594566,-0.024578700616159868,-0.023884458709029263
Physically active only (arm 2),BMI band,>=30,72905,-0.02405493634520464,-0.024492257793283335,-0.02361761489712595
Adequate sleep only (arm 4),sex,Female,180841,-0.04182193332237414,-0.04215529915105846,-0.04148856749368982
Adequate sleep only (arm 4),sex,Male,140347,-0.033873457673714524,-0.03427499453117195,-0.0334719208162571
Adequate sleep only (arm 4),age band,<55,129590,-0.02842786179934245,-0.02874634822111973,-0.028109375377565166
