analysis,cohort,analysis_role,feasible,RR,RR_ci_low,RR_ci_high,evalue_point,ci_bound_used,evalue_ci,note
Smoking cessation,FULL-COHORT DIAGNOSTIC,single-behaviour contrast,OK,1.1382049520881925,0.9128152942703041,1.4369241801796837,1.53482260281732,1.0,1.0,confidence interval includes the null
Becoming physically active,FULL-COHORT DIAGNOSTIC,single-behaviour contrast,OK,0.8614096123784694,0.7369219195330979,1.0283203804493546,1.5930601187217501,1.0,1.0,confidence interval includes the null
Achieving adequate sleep,FULL-COHORT DIAGNOSTIC,single-behaviour contrast,OK,1.2260814970559153,1.0835140494702726,1.4066983182504156,1.7525739854799753,1.0835140494702726,1.3843273569039627,confidence interval excludes the null
Smoking cessation + adequate sleep,FULL-COHORT DIAGNOSTIC,exploratory combined contrast,LOW,1.792592860959184,1.0336076340160385,3.3431525207087707,,,,not reported: insufficient event support
Physical activity + adequate sleep,FULL-COHORT DIAGNOSTIC,exploratory combined contrast,LOW,1.3600004992150183,0.9004642949465751,2.2795741375988485,,,,not reported: insufficient event support
Smoking cessation + physical activity,FULL-COHORT DIAGNOSTIC,exploratory combined contrast,LOW,1.1209476784888945,0.603820383552056,3.294058808682116,,,,not reported: insufficient event support
Smoking cessation,POST-IMAGING OUTCOME SUB-ANALYSIS,single-behaviour contrast,LOW,0.37178748015594243,0.06980097613037767,1.4449643156479113,,,,not reported: insufficient event support
Becoming physically active,POST-IMAGING OUTCOME SUB-ANALYSIS,single-behaviour contrast,LOW,0.5134371200345301,0.2626677812384156,1.017378922187725,,,,not reported: insufficient event support
Achieving adequate sleep,POST-IMAGING OUTCOME SUB-ANALYSIS,single-behaviour contrast,LOW,0.9056977692127604,0.42273508098034634,1.752202890248027,,,,not reported: insufficient event support
Smoking cessation + adequate sleep,POST-IMAGING OUTCOME SUB-ANALYSIS,exploratory combined contrast,LOW,0.0,0.0,0.0,,,,not reported: insufficient event support
Physical activity + adequate sleep,POST-IMAGING OUTCOME SUB-ANALYSIS,exploratory combined contrast,LOW,0.2567356187775785,0.0,2.0146102731074036,,,,not reported: insufficient event support
Smoking cessation + physical activity,POST-IMAGING OUTCOME SUB-ANALYSIS,exploratory combined contrast,LOW,,,,,,,not reported: insufficient event support
