analysis,cohort,treated_n,control_n,treated_events,control_events,feasible,r_treated,r_control,RD,RD_ci_low,RD_ci_high,RR,RR_ci_low,RR_ci_high,nb3_cate,direction_consistent,n_boot_rd_valid,n_boot_rr_valid,analysis_role
Smoking cessation,FULL-COHORT DIAGNOSTIC,2747,1943,183,110,OK,0.06588605920446039,0.05788593616956543,0.00800012303489496,-0.005782100565256024,0.020712943832282765,1.1382049520881925,0.912815294270304,1.4369241801796837,-0.0704439738886749,False,500,500,single-behaviour contrast
Becoming physically active,FULL-COHORT DIAGNOSTIC,7492,2806,391,183,OK,0.053071486238638624,0.06161004645873525,-0.008538560220096629,-0.01771226015752899,0.0015467445372197752,0.8614096123784694,0.7369219195330979,1.0283203804493546,-0.02776864157833841,True,500,500,single-behaviour contrast
Achieving adequate sleep,FULL-COHORT DIAGNOSTIC,6751,9240,441,464,OK,0.06294207933048544,0.05133596704755995,0.01160611228292549,0.004648941143082094,0.019221952214218928,1.2260814970559153,1.0835140494702726,1.4066983182504158,-0.038348750289812425,False,500,500,single-behaviour contrast
Smoking cessation + adequate sleep,FULL-COHORT DIAGNOSTIC,303,292,31,16,LOW,0.09798041775002703,0.05465848932233251,0.043321928427694514,0.0022230157014691103,0.08413736607294543,1.7925928609591837,1.0336076340160387,3.3431525207087716,-0.0786836780951618,False,500,500,exploratory combined contrast
Physical activity + adequate sleep,FULL-COHORT DIAGNOSTIC,768,388,61,23,LOW,0.07985165750991381,0.05871443249910831,0.021137225010805505,-0.00801870818906457,0.050105156551903667,1.3600004992150185,0.900464294946575,2.279574137598848,-0.04732736120174449,False,500,500,exploratory combined contrast
Smoking cessation + physical activity,FULL-COHORT DIAGNOSTIC,322,99,28,9,LOW,0.0889303377966154,0.07933495871680549,0.00959537907980991,-0.050082059682813186,0.0687106278674719,1.1209476784888945,0.603820383552056,3.2940588086821165,-0.0791978219537718,False,500,500,exploratory combined contrast
Smoking cessation,POST-IMAGING OUTCOME SUB-ANALYSIS,2568,1841,4,8,LOW,0.0015538765275366075,0.004179475131558627,-0.0026255986040220197,-0.006052138965579544,0.0007799459944775582,0.3717874801559423,0.06980097613037767,1.4449643156479113,-0.0704439738886749,True,500,499,single-behaviour contrast
Becoming physically active,POST-IMAGING OUTCOME SUB-ANALYSIS,7123,2639,22,16,LOW,0.003147217618061348,0.006129704096676315,-0.002982486478614967,-0.006427172642324297,6.394519140800854e-05,0.5134371200345301,0.2626677812384156,1.0173789221877254,-0.02776864157833841,True,500,500,single-behaviour contrast
Achieving adequate sleep,POST-IMAGING OUTCOME SUB-ANALYSIS,6325,8799,15,23,LOW,0.002347983167680668,0.00259245771326295,-0.0002444745455822818,-0.001957366386518455,0.0013490679466630735,0.9056977692127606,0.42273508098034634,1.7522028902480267,-0.038348750289812425,True,500,500,single-behaviour contrast
Smoking cessation + adequate sleep,POST-IMAGING OUTCOME SUB-ANALYSIS,272,277,0,1,LOW,0.0,0.0034462069554535082,-0.0034462069554535082,-0.010886010825141233,0.0,0.0,0.0,0.0,-0.0786836780951618,True,500,318,exploratory combined contrast
Physical activity + adequate sleep,POST-IMAGING OUTCOME SUB-ANALYSIS,708,367,1,2,LOW,0.0015790379818461028,0.006150443749739665,-0.004571405767893562,-0.01458825260321198,0.0032177637012407723,0.2567356187775785,0.0,2.014610273107403,-0.04732736120174449,True,500,433,exploratory combined contrast
Smoking cessation + physical activity,POST-IMAGING OUTCOME SUB-ANALYSIS,295,90,1,0,LOW,0.003350197752211238,0.0,0.003350197752211238,0.0,0.011016518842722063,,,,-0.0791978219537718,False,500,0,exploratory combined contrast
