cohort,intervention,cell,baseline,imaging,n,pct_of_total,cvd_events,cvd_rate
main (full imaging pool),Quit smoking,HH,H,H,66477,92.79183707653439,3420,0.051446364908163726
main (full imaging pool),Quit smoking,HU,H,U,469,0.654653061794224,24,0.0511727078891258
main (full imaging pool),Quit smoking,UH,U,H,2750,3.8385840510322304,183,0.06654545454545455
main (full imaging pool),Quit smoking,UU,U,U,1945,2.7149258106391594,110,0.056555269922879174
main (full imaging pool),Increase PA,HH,H,H,27186,42.49339606421058,1331,0.04895902302655779
main (full imaging pool),Increase PA,HU,H,U,8311,12.990605999030901,458,0.05510768860546264
main (full imaging pool),Increase PA,UH,U,H,13198,20.629288650608814,679,0.051447188968025456
main (full imaging pool),Increase PA,UU,U,U,15282,23.88670928614971,860,0.05627535662871352
main (full imaging pool),Adequate sleep,HH,H,H,48601,66.3612654805631,2524,0.05193308779654739
main (full imaging pool),Adequate sleep,HU,H,U,8639,11.79595013449486,402,0.04653316356059729
main (full imaging pool),Adequate sleep,UH,U,H,6751,9.218018214836762,441,0.065323655754703
main (full imaging pool),Adequate sleep,UU,U,U,9246,12.624766170105275,464,0.05018386329223448
sub (excl. pre-imaging CVD events),Quit smoking,HH,H,H,65136,92.83260885056652,2079,0.03191783345615328
sub (excl. pre-imaging CVD events),Quit smoking,HU,H,U,461,0.6570227321314045,16,0.03470715835140998
sub (excl. pre-imaging CVD events),Quit smoking,UH,U,H,2670,3.8053160407610633,103,0.03857677902621723
sub (excl. pre-imaging CVD events),Quit smoking,UU,U,U,1898,2.70505237654101,63,0.033192834562697573
sub (excl. pre-imaging CVD events),Increase PA,HH,H,H,26664,42.54124254124254,809,0.03034053405340534
sub (excl. pre-imaging CVD events),Increase PA,HU,H,U,8148,12.999776636140274,295,0.03620520373097693
sub (excl. pre-imaging CVD events),Increase PA,UH,U,H,12945,20.653179744088835,426,0.03290845886442642
sub (excl. pre-imaging CVD events),Increase PA,UU,U,U,14921,23.80580107852835,499,0.03344279874003083
sub (excl. pre-imaging CVD events),Adequate sleep,HH,H,H,47607,66.34289775498544,1530,0.032138130947129626
sub (excl. pre-imaging CVD events),Adequate sleep,HU,H,U,8492,11.834055658523669,255,0.03002826189354687
sub (excl. pre-imaging CVD events),Adequate sleep,UH,U,H,6585,9.176549283016765,275,0.04176157934700076
sub (excl. pre-imaging CVD events),Adequate sleep,UU,U,U,9075,12.646497303474128,293,0.032286501377410466
