intervention,strat_var,strat_level,denom_basis,cell,n,pct
Quit smoking,sex,Female,full,HH,35486,93.91806055473216
Quit smoking,sex,Female,full,HU,214,0.566377302561931
Quit smoking,sex,Female,full,UH,1224,3.239466440821512
Quit smoking,sex,Female,full,UU,860,2.2760957018843957
Quit smoking,sex,Male,full,HH,30991,91.53498537968514
Quit smoking,sex,Male,full,HU,255,0.7531677348849573
Quit smoking,sex,Male,full,UH,1526,4.507192013468411
Quit smoking,sex,Male,full,UU,1085,3.204654871961485
Quit smoking,age_band,<55,full,HH,31409,90.98519741606559
Quit smoking,age_band,<55,full,HU,343,0.9935980997074245
Quit smoking,age_band,<55,full,UH,1597,4.626169577938067
Quit smoking,age_band,<55,full,UU,1172,3.3950349062889256
Quit smoking,age_band,55-65,full,HH,28186,94.05993459253821
Quit smoking,age_band,55-65,full,HU,115,0.38376827070680103
Quit smoking,age_band,55-65,full,UH,991,3.30708135887339
Quit smoking,age_band,55-65,full,UU,674,2.249215777881599
Quit smoking,age_band,>=65,full,HH,6882,96.19793122728544
Quit smoking,age_band,>=65,full,HU,11,0.15376013419066256
Quit smoking,age_band,>=65,full,UH,162,2.2644674308079393
Quit smoking,age_band,>=65,full,UU,99,1.383841207715963
Quit smoking,bmi_band,<25,full,HH,26499,92.99199887703537
Quit smoking,bmi_band,<25,full,HU,148,0.5193711398090961
Quit smoking,bmi_band,<25,full,UH,1063,3.7303481190342507
Quit smoking,bmi_band,<25,full,UU,786,2.75828186412128
Quit smoking,bmi_band,25-30,full,HH,28216,92.77306503583875
Quit smoking,bmi_band,25-30,full,HU,204,0.6707437364371671
Quit smoking,bmi_band,25-30,full,UH,1177,3.8699283224830667
Quit smoking,bmi_band,25-30,full,UU,817,2.6862629052410076
Quit smoking,bmi_band,>=30,full,HH,11762,92.38865760741497
Quit smoking,bmi_band,>=30,full,HU,117,0.9190165737176968
Quit smoking,bmi_band,>=30,full,UH,510,4.00596968030791
Quit smoking,bmi_band,>=30,full,UU,342,2.6863561385594217
Increase PA,sex,Female,full,HH,22049,76.45019243438162
Increase PA,sex,Female,full,HU,1738,6.026143337609653
Increase PA,sex,Female,full,UH,3745,12.984986650948303
Increase PA,sex,Female,full,UU,1309,4.538677577060435
Increase PA,sex,Male,full,HH,21005,75.10637537097293
Increase PA,sex,Male,full,HU,1709,6.110773411520721
Increase PA,sex,Male,full,UH,3753,13.419387134837487
Increase PA,sex,Male,full,UU,1500,5.36346408266886
Increase PA,age_band,<55,full,HH,21056,74.16434785671515
Increase PA,age_band,<55,full,HU,1796,6.325948363918144
Increase PA,age_band,<55,full,UH,3979,14.015004755028002
Increase PA,age_band,<55,full,UU,1560,5.494699024338699
Increase PA,age_band,55-65,full,HH,17791,76.80784008979839
Increase PA,age_band,55-65,full,HU,1300,5.612399084747226
Increase PA,age_band,55-65,full,UH,3053,13.180503389025603
Increase PA,age_band,55-65,full,UU,1019,4.399257436428787
Increase PA,age_band,>=65,full,HH,4207,80.07232584697374
